DEVICE2,"TCP/2030,UDP/2030",
DEVICESHARE,"TCP/552,UDP/552",
DHCPC,"TCP/68,UDP/68",DHCP/Bootstrap Protocol Client
DHCPS,"TCP/67,UDP/67",DHCP/Bootstrap Protocol Server
DHCPV6-CLIENT,"TCP/546,UDP/546",DHCPv6 Client
DHCPV6-SERVER,"TCP/547,UDP/547",DHCPv6 Server
DIAGMOND,"TCP/1508,UDP/1508",
DICT,TCP/2628,Dictionary service (RFC2229)
DIGITAL-VRC,"TCP/466,UDP/466",
DIRECT,"TCP/242,UDP/242",
DIS,"TCP/393,UDP/393",Data Interpretation System
DISCARD,"TCP/9,UDP/9",sink null
DISTCCD,TCP/3632,Distributed compiler daemon
DIXIE,"TCP/96,UDP/96",DIXIE Protocol Specification
DLIP,"TCP/7201,UDP/7201",
DLS,"TCP/197,UDP/197,TCP/2047,UDP/2047",Directory Location Service
DLS-MON,"TCP/198,UDP/198",Directory Location Service Monitor
DLS-MONITOR,"TCP/2048,UDP/2048",
DLSRPN,"TCP/2065,UDP/2065",Data Link Switch Read Port Number
DLSWPN,"TCP/2067,UDP/2067",Data Link Switch Write Port Number
DMDOCBROKER,"TCP/1489,UDP/1489",
DN6-NLM-AUD,"TCP/195,UDP/195",DNSIX Network Level Module Audit
DN6-SMM-RED,"TCP/196,UDP/196",DNSIX Session Mgt Module Audit Redir
DNA-CML,"TCP/436,UDP/436",
DNET-KEYPROXY,TCP/2064,A closed-source client for solving the RSA cryptographic challenge. This is the keyblock proxy port.
DNET-TSTPROXY,TCP/3064,distributed.net (a closed source crypto-cracking project) proxy test port
DNSIX,"TCP/90,UDP/90",DNSIX Securit Attribute Token Map
DOCSTOR,"TCP/1488,UDP/1488",
DOMAIN,"TCP/53,UDP/53",Domain Name Server
DOOM,"TCP/666,UDP/666",Id Software Doom
DOWN,TCP/2022,
DPSI,"TCP/315,UDP/315",
DRAGONIDSCONSOLE,TCP/9111,Dragon IDS Console 
DSETOS,"TCP/378,UDP/378",NEC Corporation
DSF,"TCP/555,UDP/555",
DSFGW,"TCP/438,UDP/438",
DSP,"TCP/33,UDP/33",Display Support Protocol
DSP3270,"TCP/246,UDP/246",Display Systems Protocol
DTAG-STE-SB,"TCP/352,UDP/352","DTAG, or bhoedap4"
DTK,"TCP/365,UDP/365",Deception Tool Kit (www.all.net) 
DTSPC,TCP/6112,CDE subprocess control
DVL-ACTIVEMAIL,"TCP/1396,UDP/1396",DVL Active Mail
DVS,TCP/481,
DWF,"TCP/1450,UDP/1450",Tandem Distributed Workbench Facility
ECHO,"TCP/7,UDP/7",
EDITBENCH,"TCP/1350,UDP/1350",Registration Network Protocol
EDONKEY,"TCP/4662,UDP/4666",eDonkey file sharing (Donkey)
EFS,TCP/520,extended file name server
EICON-SERVER,"TCP/1438,UDP/1438",Eicon Security Agent/Server
EICON-SLP,"TCP/1440,UDP/1440",Eicon Service Location Protocol
EICON-X25,"TCP/1439,UDP/1439",Eicon X25/SNA Gateway
EIMS-ADMIN,TCP/4199,Eudora Internet Mail Service (EIMS) admin
EKLOGIN,"TCP/2105,UDP/2105",Kerberos (v4) encrypted rlogin
EKSHELL,"TCP/545,TCP/2106,UDP/2106",Kerberos encrypted remote shell -kfall
ELAN,"TCP/1378,UDP/1378",Elan License Manager
ELCSD,"TCP/704,UDP/704",errlog copy/server daemon
ELITE,TCP/31337,Sometimes interesting stuff can be found here
ELLPACK,TCP/2025,
EMBL-NDT,"TCP/394,UDP/394",EMBL Nucleic Data Transfer
EMCE,UDP/2004,CCWS mm conf
EMFIS-CNTL,"TCP/141,UDP/141",EMFIS Control Service
EMFIS-DATA,"TCP/140,UDP/140",EMFIS Data Service
ENTOMB,TCP/775,
ENTRUSTMANAGER,"TCP/709,UDP/709",EntrustManager - NorTel DES auth network see 389/tcp
ENTRUSTTIME,"TCP/309,UDP/309",
EQUATIONBUILDER,"TCP/1351,UDP/1351",Digital Tool Works (MIT)
ERPC,"TCP/121,UDP/121",Encore Expedited Remote Pro.Call
ESL-LM,"TCP/1455,UDP/1455",ESL License Manager
ESRO-GEN,TCP/259,efficient short remote operations
ESSBASE,"TCP/1423,UDP/1423",Essbase Arbor Software
EUDORA-SET,"TCP/592,UDP/592",
EVB-ELM,"TCP/1504,UDP/1504",EVB Software Engineering License Manager
EXEC,TCP/512,BSD rexecd(8)
EXTENSISPORTFOLIO,TCP/2903,Portfolio Server by Extensis Product Group
EYELINK,"TCP/589,UDP/589",
FASTTRACK,"TCP/1214,UDP/1214",Kazaa File Sharing
FATSERV,"TCP/347,UDP/347",Fatmen Server
FAX,TCP/4557,FlexFax FAX transmission service
FC-CLI,"TCP/1371,UDP/1371",Fujitsu Config Protocol
FC-SER,"TCP/1372,UDP/1372",Fujitsu Config Protocol
FCP,"TCP/510,UDP/510",FirstClass Protocol
FHC,"TCP/1499,UDP/1499",Federico Heinz Consultora
FILEMAKER,"TCP/5003,UDP/5003",Filemaker Server - http://www.filemaker.com/ti/104289.html
FINGER,"TCP/79,UDP/79,TCP/2003",
FIREWALL1-RDP,UDP/259,Firewall 1 proprietary RDP protocol http://www.inside-security.de/fw1_rdp_poc.html
FLEXLM,"TCP/744,UDP/744",Flexible License Manager
FLEXLM0,TCP/27000,FlexLM license manager additional ports
FLEXLM1,TCP/27001,FlexLM license manager additional ports
FLEXLM10,TCP/27010,FlexLM license manager additional ports
FLEXLM2,TCP/27002,FlexLM license manager additional ports
FLEXLM3,TCP/27003,FlexLM license manager additional ports
FLEXLM4,TCP/27004,FlexLM license manager additional ports
FLEXLM5,TCP/27005,FlexLM license manager additional ports
FLEXLM6,TCP/27006,FlexLM license manager additional ports
FLEXLM7,TCP/27007,FlexLM license manager additional ports
FLEXLM8,TCP/27008,FlexLM license manager additional ports
FLEXLM9,TCP/27009,FlexLM license manager additional ports
FLN-SPX,"TCP/221,UDP/221",Berkeley rlogind with SPX auth
FODMS,"TCP/7200,UDP/7200",FODMS FLIP
FONT-SERVICE,"TCP/7100,UDP/7100",X Font Service
FREECIV,TCP/5555,ACE/Server services
FTP,"TCP/21,UDP/21",File Transfer [Control]
FTP-AGENT,"TCP/574,UDP/574",FTP Software Agent System
FTP-DATA,"TCP/20,UDP/20",File Transfer [Default Data]
FTP-PROXY,TCP/8021,Common FTP proxy port
FTPS,TCP/990,"ftp protocol, control, over TLS/SSL"
FTPS-DATA,TCP/989,"ftp protocol, data, over TLS/SSL"
FTSRV,"TCP/1359,UDP/1359",
FUJITSU-DEV,"TCP/747,UDP/747",Fujitsu Device Control
FUJITSU-DTC,"TCP/1513,UDP/1513","Fujitsu Systems Business of America, Inc"
FUJITSU-DTCNS,"TCP/1514,UDP/1514","Fujitsu Systems Business of America, Inc"
FUNKPROXY,"TCP/1505,UDP/1505","Funk Software, Inc."
FW1-MC-FWMODULE,TCP/257,FW1 management console for communication w/modules and also secure electronic transaction (set) port
FW1-MC-GUI,TCP/258,also yak winsock personal chat
FW1-OR-BGMP,UDP/264,FW1 secureremote alternate
FW1-SECUREREMOTE,TCP/256,"also ""rap"""
GACP,TCP/190,Gateway Access Control Protocol
GANDALF-LM,"TCP/1421,UDP/1421",Gandalf License Manager
GARCON,TCP/999,
GDOMAP,"TCP/538,UDP/538",
GDP-PORT,"TCP/1997,UDP/1997",cisco Gateway Discovery Protocol
GENIE,"TCP/402,UDP/402",Genie Protocol
GENIE-LM,"TCP/1453,UDP/1453",Genie License Manager
GENRAD-MUX,"TCP/176,UDP/176",
GINAD,"TCP/634,UDP/634",
GKRELLM,TCP/19150,GKrellM remote system activity meter daemon
GLOBALCATLDAP,TCP/3268,Global Catalog LDAP
GLOBALCATLDAPSSL,TCP/3269,Global Catalog LDAP over ssl
GLOBE,"TCP/2002,UDP/2002",
GLOGGER,"TCP/2033,UDP/2033",
GNUTELLA,"TCP/6346,UDP/6346",Gnutella file sharing protocol,PH_SYS_PROTOGRP_P2P
GNUTELLA2,"TCP/6347,UDP/6347",Gnutella2 file sharing protocol,PH_SYS_PROTOGRP_P2P
GO-LOGIN,"TCP/491,UDP/491",
GOLDLEAF-LICMAN,"TCP/1401,UDP/1401",Goldleaf License Manager
GOPHER,"TCP/70,UDP/70",
GPPITNP,"TCP/103,UDP/103","Genesis Point-to-Point Trans Net, or x400 ISO Email"
GRAPHICS,"TCP/41,UDP/41",
GRIDGEN-ELMD,"TCP/1542,UDP/1542",
GSS-HTTP,"TCP/488,UDP/488",
GSS-XLICEN,"TCP/128,UDP/128",GSS X License Verification
GTEGSC-LM,"TCP/1452,UDP/1452",GTE Government Systems License Man
GV-US,"TCP/1369,UDP/1369",GlobalView to Unix Shell
GWHA,"TCP/1383,UDP/1383",GW Hannaway Network License Manager
H.323/Q.931,TCP/1720,Interactive media
HACL-CFG,"TCP/5302,UDP/5302",HA cluster configuration
HACL-GS,"TCP/5301,UDP/5301",HA cluster general services
HACL-HB,"TCP/5300,UDP/5300",HA cluster heartbeat
HACL-LOCAL,"TCP/5304,UDP/5304",
HACL-PROBE,"TCP/5303,UDP/5303",HA cluster probing
HACL-TEST,"TCP/5305,UDP/5305",
HALFLIFE,UDP/27015,Half-life game server
HASSLE,"TCP/375,UDP/375",
HDAP,"TCP/263,UDP/263",
HDDTEMP,TCP/7634,A cross-platform hard disk temperature monitoring daemon
HECMTL-DB,"TCP/1551,UDP/1551",
HEMS,"TCP/151,UDP/151",
HERE-LM,"TCP/1409,UDP/1409",Here License Manager
HERETIC2,UDP/28910,Heretic 2 game server
HERMES,"TCP/1248,UDP/1248",
HEXEN2,UDP/26900,Hexen 2 game server
HIQ,"TCP/1410,UDP/1410",HiQ License Manager
HOSTNAME,"TCP/101,UDP/101",hostnames NIC Host Name Server
HOSTS2-NS,"TCP/81,UDP/81",HOSTS2 Name Server
HOTLINE,"TCP/1234,TCP/5500",
HP-3000-TELNET,TCP/2564,HP 3000 NS/VT block mode telnet
HP-ALARM-MGR,"TCP/383,UDP/383",hp performance data alarm manager
HP-COLLECTOR,"TCP/381,UDP/381,TCP/781,UDP/781",hp performance data collector
HP-MANAGED-NODE,"TCP/382,UDP/382,TCP/782,UDP/782",hp performance data managed node
HPNPD,"TCP/22370,UDP/22370",Hewlett-Packard Network Printer daemon
HTTP,"TCP/80,UDP/80",World Wide Web HTTP
HTTP-ALT,"TCP/591,UDP/591,TCP/8000","FileMaker, Inc. - HTTP Alternate"
HTTP-MGMT,"TCP/280,UDP/280",
HTTP-PROXY,TCP/8080,Common HTTP proxy/second web server port
HTTP-RPC-EPMAP,"TCP/593,UDP/593",HTTP RPC Ep Map
HTTPS,"TCP/443,UDP/443",secure http (SSL)
HTTPS-ALT,TCP/8443,Common alternative https port
HYBRID,"TCP/1424,UDP/1424",Hybrid Encryption Protocol
HYBRID-POP,"TCP/473,UDP/473",
HYLAFAX,TCP/4559,HylaFAX client-server protocol
HYPER-G,"TCP/418,UDP/418",
IAD1,"TCP/1030,UDP/1030",BBN IAD
IAD2,"TCP/1031,UDP/1031",BBN IAD
IAD3,"TCP/1032,UDP/1032",BBN IAD
IAFDBASE,UDP/480,
IAFSERVER,"TCP/479,UDP/479",
IASD,"TCP/432,UDP/432",
IBM-APP,"TCP/385,UDP/385",IBM Application
IBM-CICS,"TCP/1435,UDP/1435",
IBM-DB2,"TCP/523,UDP/523",
IBM-MQSERIES,"TCP/1414,UDP/1414",IBM MQSeries
IBM-PPS,"TCP/1376,UDP/1376",IBM Person to Person Software
IBM-RES,"TCP/1405,UDP/1405",IBM Remote Execution Starter
IBM_WRLESS_LAN,"TCP/1461,UDP/1461",IBM Wireless LAN
ICAD-EL,"TCP/425,UDP/425",
ICB,TCP/7326,Internet Citizen's Band
ICLPV-DM,"TCP/1389,UDP/1389",Document Manager
ICLPV-NLC,"TCP/1394,UDP/1394",Network Log Client
ICLPV-NLS,"TCP/1393,UDP/1393",Network Log Server
ICLPV-PM,"TCP/1392,UDP/1392",Print Manager
ICLPV-SAS,"TCP/1391,UDP/1391",Storage Access Server
ICLPV-SC,"TCP/1390,UDP/1390",Storage Controller
ICLPV-WSM,"TCP/1395,UDP/1395",PC Workstation Manager software
ICQ,UDP/4000,AOL ICQ instant messaging clent-server communication
IDFP,"TCP/549,UDP/549",
IES-LM,"TCP/1443,UDP/1443",Integrated Engineering Software
IFOR-PROTOCOL,"TCP/1515,UDP/1515",
IGI-LM,"TCP/1404,UDP/1404",Infinite Graphics License Manager
IIIMSF,"TCP/50000,TCP/50002",Internet/Intranet Input Method Server Framework
IIOP,"TCP/535,UDP/535",
IIS,TCP/1027,nterm remote_login network_terminal
IISRPC-OR-VAT,UDP/3456,also VAT default data
IMAP,"TCP/143,UDP/143",Interim Mail Access Protocol v2,PH_SYS_PROTOGRP_MAIL
IMAP3,"TCP/220,UDP/220",Interactive Mail Access Protocol v3,PH_SYS_PROTOGRP_MAIL
IMAP4-SSL,"TCP/585,UDP/585","IMAP4+SSL (use of 585 is not recommended,",PH_SYS_PROTOGRP_MAIL
IMAPS,TCP/993,imap4 protocol over TLS/SSL,PH_SYS_PROTOGRP_MAIL
IMSLDOC,"TCP/2035,UDP/2035",
IMSP,"TCP/406,UDP/406",Interactive Mail Support Protocol,PH_SYS_PROTOGRP_MAIL
